Pocket Set	Cosine distance threshold	# of artificially included outlier values	Mean proportion (%)	Min proportion (%)	Max proportion (%)	Standard Deviation (%)
PDB-LIG	0.11	0	0.0013000000000000002	0.0	0.004	0.0011
PDB-LIG	0.11	1	0.0012000000000000001	0.0	0.002	0.0007483314773547884
PDB-LIG	0.11	2	0.0009	0.0	0.002	0.0009433981132056605
PDB-LIG	0.11	3	0.00030000000000000003	0.0	0.001	0.00045825756949558405
PDB-LIG	0.11	4	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.11	5	0.00030000000000000003	0.0	0.002	0.0006403124237432849
PDB-LIG	0.11	6	0.00030000000000000003	0.0	0.001	0.00045825756949558405
PDB-LIG	0.11	7	0.00020000000000000004	0.0	0.001	0.0004000000000000001
PDB-LIG	0.11	8	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.11	9	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.11	10	0.0	0.0	0.0	0.0
PDB-LIG	0.11	11	0.0	0.0	0.0	0.0
PDB-LIG	0.11	12	0.0	0.0	0.0	0.0
PDB-LIG	0.11	13	0.0	0.0	0.0	0.0
PDB-LIG	0.11	14	0.0	0.0	0.0	0.0
PDB-LIG	0.11	15	0.0	0.0	0.0	0.0
PDB-LIG	0.11	16	0.0	0.0	0.0	0.0
PDB-LIG	0.11	17	0.0	0.0	0.0	0.0
PDB-LIG	0.11	18	0.0	0.0	0.0	0.0
PDB-LIG	0.11	19	0.0	0.0	0.0	0.0
PDB-LIG	0.11	20	0.0	0.0	0.0	0.0
PDB-LIG	0.11	21	0.0	0.0	0.0	0.0
PDB-LIG	0.11	22	0.0	0.0	0.0	0.0
PDB-LIG	0.11	23	0.0	0.0	0.0	0.0
PDB-LIG	0.11	24	0.0	0.0	0.0	0.0
PDB-LIG	0.11	25	0.0	0.0	0.0	0.0
PDB-LIG	0.11	26	0.0	0.0	0.0	0.0
PDB-LIG	0.11	27	0.0	0.0	0.0	0.0
PDB-LIG	0.11	28	0.0	0.0	0.0	0.0
PDB-LIG	0.11	29	0.0	0.0	0.0	0.0
PDB-LIG	0.11	30	0.0	0.0	0.0	0.0
PDB-LIG	0.11	31	0.0	0.0	0.0	0.0
PDB-LIG	0.11	32	0.0	0.0	0.0	0.0
PDB-LIG	0.11	33	0.0	0.0	0.0	0.0
PDB-LIG	0.11	34	0.0	0.0	0.0	0.0
PDB-LIG	0.11	35	0.0	0.0	0.0	0.0
